entry_time_app,entry_time_tpl,exit_time_app,exit_time_tpl,entry_name,direction,entry_price,exit_price,quantity,pnl_currency
2020-01-03 11:51:00,2020-01-03 08:51:00,2020-01-03 15:38:00,2020-01-03 12:38:00,NYO_L_TP1,LONG,11638.75,11632.00,1,-15.40
2020-01-03 11:51:00,2020-01-03 08:51:00,2020-01-03 15:38:00,2020-01-03 12:38:00,NYO_L_TP2,LONG,11638.75,11632.00,1,-15.40
2020-01-06 12:06:00,2020-01-06 09:06:00,2020-01-06 14:16:00,2020-01-06 11:16:00,NYO_L_TP1,LONG,11604.75,11618.00,1,24.60
2020-01-06 12:06:00,2020-01-06 09:06:00,2020-01-06 14:16:00,2020-01-06 11:16:00,NYO_L_TP2,LONG,11604.75,11618.00,1,24.60
2020-01-08 11:51:00,2020-01-08 08:51:00,2020-01-08 12:36:00,2020-01-08 09:36:00,NYO_L_TP1,LONG,11688.50,11683.25,1,-12.40
2020-01-08 11:51:00,2020-01-08 08:51:00,2020-01-08 12:36:00,2020-01-08 09:36:00,NYO_L_TP2,LONG,11688.50,11683.25,1,-12.40
2020-01-13 14:06:00,2020-01-13 11:06:00,2020-01-13 17:29:00,2020-01-13 14:29:00,NYO_L_TP1,LONG,11867.50,11870.50,1,4.10
2020-01-13 14:06:00,2020-01-13 11:06:00,2020-01-13 17:29:00,2020-01-13 14:29:00,NYO_L_TP2,LONG,11867.50,11870.50,1,4.10
2020-01-14 12:06:00,2020-01-14 09:06:00,2020-01-14 13:57:00,2020-01-14 10:57:00,NYO_S_TP1,SHORT,11861.00,11880.00,1,-39.90
2020-01-14 12:06:00,2020-01-14 09:06:00,2020-01-14 13:57:00,2020-01-14 10:57:00,NYO_S_TP2,SHORT,11861.00,11880.00,1,-39.90
2020-01-15 12:01:00,2020-01-15 09:01:00,2020-01-15 13:11:00,2020-01-15 10:11:00,NYO_L_TP1,LONG,11889.75,11881.00,1,-19.40
2020-01-15 12:01:00,2020-01-15 09:01:00,2020-01-15 13:11:00,2020-01-15 10:11:00,NYO_L_TP2,LONG,11889.75,11881.00,1,-19.40
2020-01-16 12:16:00,2020-01-16 09:16:00,2020-01-16 12:21:00,2020-01-16 09:21:00,NYO_L_TP1,LONG,11921.00,11910.00,1,-23.90
2020-01-16 12:16:00,2020-01-16 09:16:00,2020-01-16 12:21:00,2020-01-16 09:21:00,NYO_L_TP2,LONG,11921.00,11910.00,1,-23.90
2020-01-17 13:21:00,2020-01-17 10:21:00,2020-01-17 14:06:00,2020-01-17 11:06:00,NYO_S_TP1,SHORT,11941.25,11953.50,1,-26.40
2020-01-17 13:21:00,2020-01-17 10:21:00,2020-01-17 14:06:00,2020-01-17 11:06:00,NYO_S_TP2,SHORT,11941.25,11953.50,1,-26.40
2020-01-21 12:11:00,2020-01-21 09:11:00,2020-01-21 12:26:00,2020-01-21 09:26:00,NYO_L_TP1,LONG,11983.25,11969.00,1,-30.40
2020-01-21 12:11:00,2020-01-21 09:11:00,2020-01-21 12:26:00,2020-01-21 09:26:00,NYO_L_TP2,LONG,11983.25,11969.00,1,-30.40
2020-01-24 12:26:00,2020-01-24 09:26:00,2020-01-24 13:04:00,2020-01-24 10:04:00,NYO_S_TP1,SHORT,12052.75,12055.50,1,-7.40
2020-01-24 12:26:00,2020-01-24 09:26:00,2020-01-24 13:04:00,2020-01-24 10:04:00,NYO_S_TP2,SHORT,12052.75,12055.50,1,-7.40
2020-01-28 12:31:00,2020-01-28 09:31:00,2020-01-28 14:00:00,2020-01-28 11:00:00,NYO_L_TP1,LONG,11856.00,11902.25,1,90.60
2020-01-28 12:31:00,2020-01-28 09:31:00,2020-01-28 15:07:00,2020-01-28 12:07:00,NYO_L_TP2,LONG,11856.00,11889.25,1,64.60
2020-01-29 12:11:00,2020-01-29 09:11:00,2020-01-29 12:41:00,2020-01-29 09:41:00,NYO_S_TP1,SHORT,11887.50,11913.25,1,-53.40
2020-01-29 12:11:00,2020-01-29 09:11:00,2020-01-29 12:41:00,2020-01-29 09:41:00,NYO_S_TP2,SHORT,11887.50,11913.25,1,-53.40
2020-01-31 11:51:00,2020-01-31 08:51:00,2020-01-31 12:55:00,2020-01-31 09:55:00,NYO_S_TP1,SHORT,11932.75,11859.25,1,145.10
2020-01-31 11:51:00,2020-01-31 08:51:00,2020-01-31 13:46:00,2020-01-31 10:46:00,NYO_S_TP2,SHORT,11932.75,11857.50,1,148.60
2020-02-03 11:56:00,2020-02-03 08:56:00,2020-02-03 12:06:00,2020-02-03 09:06:00,NYO_L_TP1,LONG,11921.25,11926.50,1,8.60
2020-02-03 11:56:00,2020-02-03 08:56:00,2020-02-03 12:06:00,2020-02-03 09:06:00,NYO_L_TP2,LONG,11921.25,11926.50,1,8.60
2020-02-04 12:16:00,2020-02-04 09:16:00,2020-02-04 13:19:00,2020-02-04 10:19:00,NYO_L_TP1,LONG,12061.50,12107.00,1,89.10
2020-02-04 12:16:00,2020-02-04 09:16:00,2020-02-04 14:13:00,2020-02-04 11:13:00,NYO_L_TP2,LONG,12061.50,12137.25,1,149.60
2020-02-05 12:01:00,2020-02-05 09:01:00,2020-02-05 13:10:00,2020-02-05 10:10:00,NYO_S_TP1,SHORT,12201.00,12163.25,1,73.60
2020-02-05 12:01:00,2020-02-05 09:01:00,2020-02-05 13:10:00,2020-02-05 10:10:00,NYO_S_TP2,SHORT,12201.00,12163.25,1,73.60
2020-02-10 12:06:00,2020-02-10 09:06:00,2020-02-10 13:15:00,2020-02-10 10:15:00,NYO_L_TP1,LONG,12250.50,12260.50,1,18.10
2020-02-10 12:06:00,2020-02-10 09:06:00,2020-02-10 13:15:00,2020-02-10 10:15:00,NYO_L_TP2,LONG,12250.50,12260.50,1,18.10
2020-02-13 12:01:00,2020-02-13 09:01:00,2020-02-13 13:24:00,2020-02-13 10:24:00,NYO_L_TP1,LONG,12376.75,12423.00,1,90.60
2020-02-13 12:01:00,2020-02-13 09:01:00,2020-02-13 14:59:00,2020-02-13 11:59:00,NYO_L_TP2,LONG,12376.75,12414.25,1,73.10
2020-02-14 12:21:00,2020-02-14 09:21:00,2020-02-14 12:52:00,2020-02-14 09:52:00,NYO_S_TP1,SHORT,12418.75,12439.75,1,-43.90
2020-02-14 12:21:00,2020-02-14 09:21:00,2020-02-14 12:52:00,2020-02-14 09:52:00,NYO_S_TP2,SHORT,12418.75,12439.75,1,-43.90
2020-02-18 12:01:00,2020-02-18 09:01:00,2020-02-18 12:30:00,2020-02-18 09:30:00,NYO_L_TP1,LONG,12428.00,12410.00,1,-37.90
2020-02-18 12:01:00,2020-02-18 09:01:00,2020-02-18 12:30:00,2020-02-18 09:30:00,NYO_L_TP2,LONG,12428.00,12410.00,1,-37.90
2020-02-19 11:56:00,2020-02-19 08:56:00,2020-02-19 14:50:00,2020-02-19 11:50:00,NYO_L_TP1,LONG,12519.25,12549.25,1,58.10
2020-02-19 11:56:00,2020-02-19 08:56:00,2020-02-19 16:03:00,2020-02-19 13:03:00,NYO_L_TP2,LONG,12519.25,12535.00,1,29.60
2020-02-20 13:21:00,2020-02-20 10:21:00,2020-02-20 13:31:00,2020-02-20 10:31:00,NYO_S_TP1,SHORT,12458.75,12402.50,1,110.60
2020-02-20 13:21:00,2020-02-20 10:21:00,2020-02-20 13:33:00,2020-02-20 10:33:00,NYO_S_TP2,SHORT,12458.75,12365.00,1,185.60
2020-02-21 11:56:00,2020-02-21 08:56:00,2020-02-21 14:06:00,2020-02-21 11:06:00,NYO_S_TP1,SHORT,12314.50,12341.00,1,-54.90
2020-02-21 11:56:00,2020-02-21 08:56:00,2020-02-21 14:06:00,2020-02-21 11:06:00,NYO_S_TP2,SHORT,12314.50,12341.00,1,-54.90
2020-02-25 12:51:00,2020-02-25 09:51:00,2020-02-25 13:34:00,2020-02-25 10:34:00,NYO_S_TP1,SHORT,11845.50,11808.75,1,71.60
2020-02-25 12:51:00,2020-02-25 09:51:00,2020-02-25 13:34:00,2020-02-25 10:34:00,NYO_S_TP2,SHORT,11845.50,11808.75,1,71.60
2020-02-26 12:26:00,2020-02-26 09:26:00,2020-02-26 13:02:00,2020-02-26 10:02:00,NYO_L_TP1,LONG,11798.25,11799.00,1,-0.40
2020-02-26 12:26:00,2020-02-26 09:26:00,2020-02-26 13:02:00,2020-02-26 10:02:00,NYO_L_TP2,LONG,11798.25,11799.00,1,-0.40
2020-02-27 12:31:00,2020-02-27 09:31:00,2020-02-27 12:40:00,2020-02-27 09:40:00,NYO_S_TP1,SHORT,11389.50,11386.50,1,4.10
2020-02-27 12:31:00,2020-02-27 09:31:00,2020-02-27 12:40:00,2020-02-27 09:40:00,NYO_S_TP2,SHORT,11389.50,11386.50,1,4.10
2020-02-28 13:51:00,2020-02-28 10:51:00,2020-02-28 15:31:00,2020-02-28 12:31:00,NYO_L_TP1,LONG,11194.50,11132.25,1,-126.40
2020-02-28 13:51:00,2020-02-28 10:51:00,2020-02-28 15:31:00,2020-02-28 12:31:00,NYO_L_TP2,LONG,11194.50,11132.25,1,-126.40
2020-03-02 13:21:00,2020-03-02 10:21:00,2020-03-02 15:28:00,2020-03-02 12:28:00,NYO_L_TP1,LONG,11430.75,11457.25,1,51.10
2020-03-02 13:21:00,2020-03-02 10:21:00,2020-03-02 15:28:00,2020-03-02 12:28:00,NYO_L_TP2,LONG,11430.75,11457.25,1,51.10
2020-03-03 12:16:00,2020-03-03 09:16:00,2020-03-03 13:15:00,2020-03-03 10:15:00,NYO_L_TP1,LONG,11672.00,11592.50,1,-160.90
2020-03-03 12:16:00,2020-03-03 09:16:00,2020-03-03 13:15:00,2020-03-03 10:15:00,NYO_L_TP2,LONG,11672.00,11592.50,1,-160.90
2020-03-04 12:01:00,2020-03-04 09:01:00,2020-03-04 12:14:00,2020-03-04 09:14:00,NYO_S_TP1,SHORT,11501.00,11548.75,1,-97.40
2020-03-04 12:01:00,2020-03-04 09:01:00,2020-03-04 12:14:00,2020-03-04 09:14:00,NYO_S_TP2,SHORT,11501.00,11548.75,1,-97.40
2020-03-05 12:56:00,2020-03-05 09:56:00,2020-03-05 13:39:00,2020-03-05 10:39:00,NYO_L_TP1,LONG,11628.25,11623.00,1,-12.40
2020-03-05 12:56:00,2020-03-05 09:56:00,2020-03-05 13:39:00,2020-03-05 10:39:00,NYO_L_TP2,LONG,11628.25,11623.00,1,-12.40
2020-03-06 12:36:00,2020-03-06 09:36:00,2020-03-06 13:09:00,2020-03-06 10:09:00,NYO_L_TP1,LONG,11285.00,11281.25,1,-9.40
2020-03-06 12:36:00,2020-03-06 09:36:00,2020-03-06 13:09:00,2020-03-06 10:09:00,NYO_L_TP2,LONG,11285.00,11281.25,1,-9.40
2020-03-10 11:56:00,2020-03-10 09:56:00,2020-03-10 12:09:00,2020-03-10 10:09:00,NYO_S_TP1,SHORT,10896.00,10941.25,1,-92.40
2020-03-10 11:56:00,2020-03-10 09:56:00,2020-03-10 12:09:00,2020-03-10 10:09:00,NYO_S_TP2,SHORT,10896.00,10941.25,1,-92.40
